feature,importance,importance_pct,ticker,horizon
AD_slope,0.0,0.0,MRNA,1d
rsi_volume,0.0,0.0,MRNA,1d
position_in_range_10,0.0,0.0,MRNA,1d
volume_momentum,0.0,0.0,MRNA,1d
mfi_rsi_divergence,0.0,0.0,MRNA,1d
obv_price_divergence,0.0,0.0,MRNA,1d
volume_volatility,0.0,0.0,MRNA,1d
month_sin,0.0,0.0,MRNA,1d
month_cos,0.0,0.0,MRNA,1d
sentiment_compound,0.0,0.0,MRNA,1d
sentiment_positive,0.0,0.0,MRNA,1d
sentiment_negative,0.0,0.0,MRNA,1d
news_volume,0.0,0.0,MRNA,1d
sentiment_change_1d,0.0,0.0,MRNA,1d
sentiment_trend,0.0,0.0,MRNA,1d
sentiment_rsi,0.0,0.0,MRNA,1d
sentiment_momentum,0.0,0.0,MRNA,1d
trend_momentum,26.977290153503418,11.430776544632632,HSBA.L,1d
volatility_20,17.6390700340271,7.474000052147741,HSBA.L,1d
SMA_50,16.597420692443848,7.032633970019009,HSBA.L,1d
oc_spread,15.719000339508057,6.660431027857956,HSBA.L,1d
price_to_sma_5,15.11523962020874,6.4046064498715385,HSBA.L,1d
OBV_slope,14.01800012588501,5.939685792378019,HSBA.L,1d
STOCH_K,13.147890090942383,5.571004085576567,HSBA.L,1d
momentum_5,12.051360130310059,5.10638407062465,HSBA.L,1d
volume_ma_10,11.519949913024902,4.881215737824833,HSBA.L,1d
position_in_range_5,10.579890012741089,4.482894979973681,HSBA.L,1d
momentum_20,8.76399040222168,3.713464745979732,HSBA.L,1d
ATR_pct,8.653180122375488,3.6665123819519634,HSBA.L,1d
CMF,8.504619598388672,3.603564541624632,HSBA.L,1d
BB_width,8.259730339050293,3.499800435380103,HSBA.L,1d
month_sin,7.496350049972534,3.1763420949251144,HSBA.L,1d
RSI_14,7.490560054779053,3.173888766926839,HSBA.L,1d
volume_ma_20,7.337019920349121,3.1088309736008672,HSBA.L,1d
position_in_range_10,6.896570205688477,2.9222042872737677,HSBA.L,1d
MACD_hist,6.0843400955200195,2.578047374576877,HSBA.L,1d
EMA_20,4.838980197906494,2.0503653640314963,HSBA.L,1d
MFI,4.301139831542969,1.822472458198387,HSBA.L,1d
price_to_sma_20,4.01416015625,1.7008738646235932,HSBA.L,1d
price_to_sma_50,0.0,0.0,HSBA.L,1d
EMA_50,0.0,0.0,HSBA.L,1d
sma_cross_10_50,0.0,0.0,HSBA.L,1d
sma_cross_5_20,0.0,0.0,HSBA.L,1d
SMA_5,0.0,0.0,HSBA.L,1d
EMA_5,0.0,0.0,HSBA.L,1d
EMA_10,0.0,0.0,HSBA.L,1d
SMA_10,0.0,0.0,HSBA.L,1d
returns,0.0,0.0,HSBA.L,1d
log_returns,0.0,0.0,HSBA.L,1d
price_to_sma_10,0.0,0.0,HSBA.L,1d
SMA_20,0.0,0.0,HSBA.L,1d
volatility_10,0.0,0.0,HSBA.L,1d
volatility_5,0.0,0.0,HSBA.L,1d
BB_middle,0.0,0.0,HSBA.L,1d
BB_lower,0.0,0.0,HSBA.L,1d
volume_ma_5,0.0,0.0,HSBA.L,1d
ADX_strong_trend,0.0,0.0,HSBA.L,1d
STOCH_D,0.0,0.0,HSBA.L,1d
ADX,0.0,0.0,HSBA.L,1d
BB_position,0.0,0.0,HSBA.L,1d
ATR,0.0,0.0,HSBA.L,1d
MACD,0.0,0.0,HSBA.L,1d
BB_upper,0.0,0.0,HSBA.L,1d
MACD_cross,0.0,0.0,HSBA.L,1d
MACD_signal,0.0,0.0,HSBA.L,1d
RSI_oversold,0.0,0.0,HSBA.L,1d
RSI_overbought,0.0,0.0,HSBA.L,1d
OBV,0.0,0.0,HSBA.L,1d
OBV_ema,0.0,0.0,HSBA.L,1d
volume_std_20,0.0,0.0,HSBA.L,1d
volume_zscore,0.0,0.0,HSBA.L,1d
volume_spike,0.0,0.0,HSBA.L,1d
volume_acceleration,0.0,0.0,HSBA.L,1d
volume_ratio,0.0,0.0,HSBA.L,1d
volume_trend,0.0,0.0,HSBA.L,1d
momentum_1,0.0,0.0,HSBA.L,1d
volume_price_trend,0.0,0.0,HSBA.L,1d
VWAP_approx,0.0,0.0,HSBA.L,1d
price_vs_vwap,0.0,0.0,HSBA.L,1d
AD_slope,0.0,0.0,HSBA.L,1d
momentum_10,0.0,0.0,HSBA.L,1d
hl_spread,0.0,0.0,HSBA.L,1d
AD,0.0,0.0,HSBA.L,1d
rsi_volume,0.0,0.0,HSBA.L,1d
volume_momentum,0.0,0.0,HSBA.L,1d
volume_volatility,0.0,0.0,HSBA.L,1d
mfi_rsi_divergence,0.0,0.0,HSBA.L,1d
obv_price_divergence,0.0,0.0,HSBA.L,1d
day_sin,0.0,0.0,HSBA.L,1d
